X;Y;Type
4.37039;35.9351;Orange zones
4.87636;35.677625;Orange zones
5.170897;35.517986;Orange zones
4.144312;35.240535;Orange zones
7.84645;36.7006;Orange zones
8.31326;36.7653;Orange zones
8.56742;36.8784;Orange zones
7.7969;36.7315;Orange zones
7.71922;36.6799;Orange zones
7.923041;36.720821;Orange zones
7.14144;35.4226;Orange zones
6.74862;35.3222;Orange zones
7.12996;35.4465;Orange zones
7.24487;35.5981;Orange zones
7.13438889;35.434583;Orange zones
7.88185;36.1237;Orange zones
7.95113;36.2837;Orange zones
7.82014;36.0818;Orange zones
7.80057;36.1074;Orange zones
2.9419;33.762;Orange zones
2.17725;34.4764;Orange zones
3.00838;33.756;Orange zones
5.5202;22.7967;Orange zones
5.53194;22.7761;Orange zones
5.54094;22.8018;Orange zones
2.96497;19.9566;Orange zones
3.22764;35.6351;Orange zones
3.49031;34.8968;Orange zones
3.25245;34.6775;Orange zones
3.248;34.6522;Orange zones
2.91456;35.4364;Orange zones
2.87856;35.4466;Orange zones
3.49973;34.17155;Orange zones
2.90277;35.4594;Orange zones
2.9136;35.4507;Orange zones
2.89567;35.44901;Orange zones
2.9008;35.451;Orange zones
2.90178;35.446;Orange zones
2.8967;35.4375;Orange zones
3.03345;35.081;Orange zones
3.26793;34.6859;Orange zones
3.25818;34.69094;Orange zones
3.042392;35.064828;Orange zones
2.8887;35.4549;Orange zones
3.3384;34.6978;Orange zones
3.4966;34.888;Orange zones
3.5838;35.4291;Orange zones
2.914604;35.455031;Orange zones
3.368471;35.349589;Orange zones
3.280299;34.649457;Orange zones
8.48087;26.5144;Orange zones
6.26096;35.4784;Orange zones
5.65185;35.676;Orange zones
6.64415;35.6678;Orange zones
5.45334;35.7007;Orange zones
5.93861;35.8016;Orange zones
5.60415;35.5554;Orange zones
5.61632;35.5671;Orange zones
5.657;35.712;Orange zones
6.12269;35.5458;Orange zones
5.57827;35.669;Orange zones
5.78912;35.6665;Orange zones
5.63247;35.6166;Orange zones
5.91578;35.3783;Orange zones
6.279267;35.637569;Orange zones
8.12763;35.4089;Orange zones
8.12615;35.4181;Orange zones
8.06037;34.7329;Orange zones
8.070803;34.754345;Orange zones
6.1831;31.7911;Orange zones
6.40034;33.0834;Orange zones
5.32257;31.9674;Orange zones
5.36814;31.9244;Orange zones
5.268526;31.957414;Orange zones
5.9901;33.541;Orange zones
7.51875;33.7305;Orange zones
6.71411;33.5577;Orange zones
6.856884;33.394515;Orange zones
3.67716;31.6044;Orange zones
2.87821;30.596;Orange zones
3.68154;32.48027;Orange zones
3.7628;32.8277;Orange zones
-0.285444;27.8857;Orange zones
0.960139;21.3303;Orange zones
-2.21442;31.6276;Orange zones
-2.23707;31.6493;Orange zones
-2.006123;34.9367;Orange zones
-1.80619;34.8315;Orange zones
-1.87;35.0958;Orange zones
-1.65028;34.8904;Orange zones
-1.2984;34.9251;Orange zones
-1.33133;34.9269;Orange zones
-1.323698;34.913235;Orange zones
-1.76066;34.8508;Orange zones
-1.727929;34.858747;Orange zones
-1.299324;34.872817;Orange zones
-1.360395;34.902928;Orange zones
-1.340252;34.885402;Orange zones
-1.427413;35.050565;Orange zones
1.97367;35.4105;Orange zones
1.87866;35.4595;Orange zones
2.31362;35.2143;Orange zones
1.5019;35.1982;Orange zones
1.31305;35.37107;Orange zones
1.346959;35.361158;Orange zones
0.258139;34.5513;Orange zones
0.48768;34.9897;Orange zones
0.139917;34.7632;Orange zones
-0.814778;34.4984;Orange zones
-0.559456;35.133364;Orange zones
0.6977;35.1637;Orange zones
-0.648072;35.180037;Orange zones
0.115858;35.380513;Orange zones
0.041586;35.3384;Orange zones
0.16034;35.24255;Orange zones
-0.0898056;35.5639;Orange zones
0.0691111;35.5919;Orange zones
0.07775;35.5784;Orange zones
-0.007;35.22855;Orange zones
0.0730833;35.5819;Orange zones
0.19756;35.31355;Orange zones
-0.04831;35.60636;Orange zones
0.0638056;35.5888;Orange zones
0.213889;35.3257;Orange zones
0.335644;35.409653;Orange zones
0.0702222;35.5786;Orange zones
0.162079;35.296112;Orange zones
0.32281;35.4185;Orange zones
-0.41191;35.454;Orange zones
-0.0074;35.4573;Orange zones
0.34132;35.3344;Orange zones
0.17753;35.6539;Orange zones
0.129951;35.382548;Orange zones
0.196076;35.649088;Orange zones
0.31363;33.648;Orange zones
1.03089;33.6918;Orange zones
-8.14742;27.6621;Orange zones
-8.10389;27.7673;Orange zones
5.04951;36.7463;Red zones
4.41399;36.4288;Red zones
4.68972;36.5472;Red zones
5.06664;36.7315;Red zones
4.7406;36.6067;Red zones
2.7467;36.4646;Red zones
3.2106;36.6151;Red zones
2.7788;36.4528;Red zones
3.213064;36.594824;Red zones
3.88577;36.3724;Red zones
3.60242;36.5372;Red zones
3.90745;36.4598;Red zones
3.87525;36.38039;Red zones
3.878918;36.35872;Red zones
4.0635;36.7319;Red zones
4.13521;36.6923;Red zones
4.34011;36.6409;Red zones
3.9147;36.6321;Red zones
3.04778;36.736;Red zones
2.949775;36.68167;Red zones
2.98013;36.7803;Red zones
2.56554;36.2379;Red zones
3.8546;36.7666;Red zones
3.74229;36.7465;Red zones
3.82363;36.7409;Red zones
3.903795;36.892;Red zones
2.07165;36.296;Red zones
2.48753;36.2087;Red zones
2.07602;36.1877;Red zones
1.76803;36.283;Red zones
5.76793;36.8123;Red zones
6.27692;36.7475;Red zones
5.9358;36.6985;Red zones
6.2905;36.6392;Red zones
5.34164;36.1636;Red zones
6.83583;36.6581;Red zones
6.90799;36.8452;Red zones
6.892582;36.85612;Red zones
6.821921;36.663835;Red zones
6.610523;36.363532;Red zones
6.541267;36.253557;Red zones
6.583332;36.273773;Red zones
6.593382;36.278564;Red zones
4.7392;35.9691;Red zones
5.94523;36.4102;Red zones
6.16774;36.5598;Red zones
6.03294;36.5468;Red zones
6.2471;36.4352;Red zones
1.239;36.131;Red zones
1.00233;36.3569;Red zones
1.23722;36.2321;Red zones
0.95496;36.22151;Red zones
0.375722;36.0983;Red zones
0.28866;35.8272;Red zones
-0.703639;35.7186;Red zones
-0.809778;35.7015;Red zones
-0.70356;35.66229;Red zones
-0.695588;35.66518;Red zones
-1.14204;35.3082;Red zones
-1.119634;35.294836;Red zones
6.6984;35.9251;Red zones
7.667;35.6311;Red zones
6.74166;35.9379;Red zones
6.8733;35.9738;Red zones
6.69298;35.9246;Red zones
7.40017;35.7939;Red zones
6.66777;36.0336;Red zones
6.93422;36.103;Red zones
7.40164;35.7974;Red zones
6.87084;35.9828;Red zones
6.6224;35.9254;Red zones
6.859242;35.970177;Red zones
6.71347;35.924;Red zones
6.562005;36.02957;Red zones
6.559766;36.017109;Red zones
7.141115;35.865884;Red zones
5.38629;34.7356;Red zones
5.10387;34.6008;Red zones
5.28475;34.70753;Red zones
5.40003;34.6362;Red zones
5.72605;34.8173;Red zones
5.84352;35.0654;Red zones
5.46599;34.7199;Red zones
5.71192;34.8591;Red zones
5.38343;34.7204;Red zones
6.2905;34.7214;Red zones
4.45537;34.1857;Red zones
5.74118;34.8647;Red zones
5.2935;34.7047;Red zones
5.37978;34.6014;Red zones
5.0048;34.3779;Red zones
5.04584;34.4258;Red zones
5.777329;34.848599;Red zones
5.3965;34.3777;Red zones
5.059917;34.445936;Red zones
7.75019;36.9041;Red zones
7.75836;36.8987;Red zones
7.73387;36.8927;Red zones
4.54301;35.713;Red zones
3.78566;35.8815;Red zones
4.78226;35.808;Red zones
4.88604;35.6693;Red zones
5.14863;35.5347;Red zones
3.90504;35.3808;Red zones
5.02798;35.6599;Red zones
4.97853;35.5437;Red zones
4.55484;35.0438;Red zones
4.86504;35.6738;Red zones
4.27653;35.2217;Red zones
4.28381;35.8268;Red zones
4.77562;35.6889;Red zones
5.10468;35.6073;Red zones
3.76814;35.8902;Red zones
5.11187;35.6357;Red zones
4.40982;35.3228;Red zones
4.97998;35.64059;Red zones
4.55934;35.6984;Red zones
3.76745;35.8848;Red zones
3.87632;35.6736;Red zones
4.50734;35.7289;Red zones
4.16857;35.2494;Red zones
4.56156;35.03566;Red zones
4.52628;35.6861;Red zones
5.073224;35.600293;Red zones
4.529955;35.741014;Red zones
4.26673;35.2873;Red zones
