CELLNAME;NumSteps;InnerRadius;OuterRadius;LATITUDE;LONGITUDE;ANT_HEIGHT;ANT_AZIMUTH
4A16M326_98;5;0;120;36.76209;3.04786;30;300
4A16M327_97;5;0;120;36.76089;3.0459;30;30
4A16M336_97;5;0;120;36.76863;3.03085;30;100
4A16M336_98;5;0;120;36.76863;3.03085;30;310
4A16M402_97;5;0;120;36.7687;3.0257;30;90
4A16M402_98;5;0;120;36.7687;3.0257;30;260
4A16M435_97;5;0;120;36.78829;3.06201;30;170
4A16M435_98;5;0;120;36.78829;3.06201;30;310
4A16M443_97;5;0;120;36.77314;3.05958;30;180
4A16M443_98;5;0;120;36.77314;3.05958;30;340
4A16M446_97;5;0;120;36.7691;3.04761;30;150
4A16M449_97;5;0;120;36.7668;3.051;30;110
4A16M449_98;5;0;120;36.7668;3.051;30;310
4A16M452_97;5;0;120;36.76524;3.04491;30;80
4A16M452_98;5;0;120;36.76524;3.04491;30;230
4A16M456_97;5;0;120;36.7535;3.0482;30;120
4A16M456_98;5;0;120;36.7535;3.0482;30;310
4A16M457_97;5;0;120;36.74531;3.06857;30;110
4A16M457_98;5;0;120;36.74531;3.06857;30;280
4A16M458_97;5;0;120;36.7421;3.06547;30;90
4A16M458_98;5;0;120;36.7421;3.06547;30;270
4A16M465_97;5;0;120;36.66836;3.09527;30;140
4A16M465_98;5;0;120;36.66836;3.09527;30;300
4A16M472_97;5;0;120;36.77052;3.05692;30;30
4A16M482_97;5;0;120;36.7415;3.0382;30;0
4A16M482_98;5;0;120;36.7415;3.0382;30;90
4A16M482_99;5;0;120;36.7415;3.0382;30;270
4A16M521_97;5;0;120;36.75884;3.04472;30;20
4A16M521_98;5;0;120;36.75884;3.04472;30;140
4A16M528_97;5;0;120;36.774;3.05211;30;60
4A16M546_97;5;0;120;36.76773;3.03292;30;130
4A16M546_98;5;0;120;36.76773;3.03292;30;300
4A16M631_97;5;0;120;36.77371;3.04262;30;0
4A16M631_98;5;0;120;36.77371;3.04262;30;110
4A16M632_97;5;0;120;36.7689;3.0257;30;75
4A16M659_97;5;0;120;36.7312;2.83901;30;30
4A16M659_98;5;0;120;36.7312;2.83901;30;170
4A16M669_97;5;0;120;36.76501;2.84781;30;240
4A16M693_97;5;0;120;36.7435;3.0705;30;200
4A16M696_97;5;0;120;36.75137;3.06316;30;100
4A16M696_98;5;0;120;36.75137;3.06316;30;240
4A16M706_97;5;0;120;36.73104;3.09576;30;120
4A16M706_98;5;0;120;36.73104;3.09576;30;260
4A16M732_97;5;0;120;36.71898;2.99586;30;100
4A16M732_98;5;0;120;36.71898;2.99586;30;175
4A16M785_97;5;0;120;36.79028;3.06026;30;50
4A16M785_98;5;0;120;36.79028;3.06026;30;210
4A16M827_97;5;0;120;36.79194;3.05703;30;0
4A16M831_97;5;0;120;36.79381;3.03756;30;0
4A16M861_100;5;0;120;36.69626;3.1895;30;100
4A16M861_98;5;0;120;36.69626;3.1895;30;270
4A16M861_99;5;0;120;36.69626;3.1895;30;20
4A16M863_97;5;0;120;36.75585;3.03925;30;120
4A16M863_98;5;0;120;36.75585;3.03925;30;180
4A16M863_99;5;0;120;36.75585;3.03925;30;340
4A16M870_97;5;0;120;36.81116;3.03004;30;140
